"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)",
"260","nm0000905","Sun Mar  9 15:38:55 2014","Sun Mar  9 15:38:55 2014","","Roberto Benigni","Actor, <a href=""http://www.imdb.com/title/tt0118799/"">La vita è bella</a>","1952-10-27"

"261","nm0000460","Sun Mar  9 15:39:04 2014","Sun Mar  9 15:39:04 2014","","Jeremy Irons","Actor, <a href=""http://www.imdb.com/title/tt0110357/"">The Lion King</a>","1948-09-19"

"262","nm0000458","Sun Mar  9 15:39:12 2014","Sun Mar  9 15:39:12 2014","","William Hurt","Actor, <a href=""http://www.imdb.com/title/tt0758758/"">Into the Wild</a>","1950-03-20"

"263","nm0000719","Sun Mar  9 15:39:26 2014","Sun Mar  9 15:39:26 2014","","F. Murray Abraham","Actor, <a href=""http://www.imdb.com/title/tt2278388/"">The Grand Budapest Hotel</a>","1939-10-24"

"264","nm0000377","Sun Mar  9 15:39:41 2014","Sun Mar  9 15:39:41 2014","","Richard Dreyfuss","Actor, <a href=""http://www.imdb.com/title/tt0073195/"">Jaws</a>","1947-10-29"

"265","nm0002075","Sun Mar  9 15:39:54 2014","Sun Mar  9 15:39:54 2014","","Peter Finch","Actor, <a href=""http://www.imdb.com/title/tt0074958/"">Network</a>","1916-09-28"

"266","nm0138770","Sun Mar  9 15:41:16 2014","Sun Mar  9 15:41:16 2014","","Art Carney","Actor, <a href=""http://www.imdb.com/title/tt0071598/"">Harry and Tonto</a>","1918-11-04"

"267","nm0731772","Sun Mar  9 15:41:27 2014","Sun Mar  9 15:41:27 2014","","Cliff Robertson","Actor, <a href=""http://www.imdb.com/title/tt0145487/"">Spider-Man</a>","1923-09-09"

"268","nm0001768","Sun Mar  9 15:41:45 2014","Sun Mar  9 15:41:45 2014","","Rod Steiger","Actor, <a href=""http://www.imdb.com/title/tt0047296/"">On the Waterfront</a>","1925-04-14"

"269","nm0695435","Sun Mar  8 12:10:18 2015","Sun Mar  8 12:10:18 2015","","Chris Pratt","Actor, <a href=""http://www.imdb.com/title/tt2015381/"">Guardians of the Galaxy</a>","1979-06-21"

"270","nm0001511","Sun Mar  9 15:42:06 2014","Sun Mar  9 15:42:06 2014","","Lee Marvin","Actor, <a href=""http://www.imdb.com/title/tt0061578/"">The Dirty Dozen</a>","1924-02-19"

"271","nm0001322","Sun Mar  9 15:42:14 2014","Sun Mar  9 15:42:14 2014","","Rex Harrison","Actor, <a href=""http://www.imdb.com/title/tt0058385/"">My Fair Lady</a>","1908-03-05"

"272","nm0001703","Sun Mar  9 15:42:27 2014","Sun Mar  9 15:42:27 2014","","Maximilian Schell","Actor, <a href=""http://www.imdb.com/title/tt0120647/"">Deep Impact</a>","1930-12-08"

"273","nm0000057","Sun Mar  9 15:42:43 2014","Sun Mar  9 15:42:43 2014","","David Niven","Actor, <a href=""http://www.imdb.com/title/tt0057413/"">The Pink Panther</a>","1910-03-01"

"274","nm0000989","Sun Mar  9 15:42:53 2014","Sun Mar  9 15:42:53 2014","","Yul Brynner","Actor, <a href=""http://www.imdb.com/title/tt0054047/"">The Magnificent Seven</a>","1920-07-11"

"275","nm0000308","Sun Mar  9 15:43:03 2014","Sun Mar  9 15:43:03 2014","","Ernest Borgnine","Actor, <a href=""http://www.imdb.com/title/tt0065214/"">The Wild Bunch</a>","1917-01-24"

"301","nm0001207","Sun Mar  9 15:56:02 2014","Sun Mar  9 15:56:02 2014","","José Ferrer","Actor, <a href=""http://www.imdb.com/title/tt0056172/"">Lawrence of Arabia</a>","1912-01-08"

"302","nm0002024","Sun Mar  9 15:56:23 2014","Sun Mar  9 15:56:23 2014","","Broderick Crawford","Actor, <a href=""http://www.imdb.com/title/tt0041113/"">All the King's Men</a>","1911-12-09"

"303","nm0172903","Sun Mar  9 15:56:33 2014","Sun Mar  9 15:56:33 2014","","Ronald Colman","Actor, <a href=""http://www.imdb.com/title/tt0029162/"">Lost Horizon</a>","1891-02-09"

"304","nm0545298","Sun Mar  9 15:56:43 2014","Sun Mar  9 15:56:43 2014","","Fredric March","Actor, <a href=""http://www.imdb.com/title/tt0036868/"">The Best Years of Our Lives</a>","1897-08-31"

"305","nm0001537","Sun Mar  9 15:56:53 2014","Sun Mar  9 15:56:53 2014","","Ray Milland","Actor, <a href=""http://www.imdb.com/title/tt0046912/"">Dial M for Murder</a>","1905-01-03"

"306","nm0001078","Sun Mar  9 15:56:59 2014","Sun Mar  9 15:56:59 2014","","Bing Crosby","Soundtrack, <a href=""http://www.imdb.com/title/tt0034862/"">Holiday Inn</a>","1903-05-02"

"307","nm0510134","Sun Mar  9 15:57:08 2014","Sun Mar  9 15:57:08 2014","","Paul Lukas","Actor, <a href=""http://www.imdb.com/title/tt0030341/"">The Lady Vanishes</a>","1891-05-26"

"308","nm0232196","Sun Mar  9 15:57:18 2014","Sun Mar  9 15:57:18 2014","","Robert Donat","Actor, <a href=""http://www.imdb.com/title/tt0026029/"">The 39 Steps</a>","1905-03-18"

"309","nm0612847","Sun Mar  9 15:57:27 2014","Sun Mar  9 15:57:27 2014","","Paul Muni","Actor, <a href=""http://www.imdb.com/title/tt0023427/"">Scarface</a>","1895-09-22"

"310","nm0572142","Sun Mar  9 15:57:41 2014","Sun Mar  9 15:57:41 2014","","Victor McLaglen","Actor, <a href=""http://www.imdb.com/title/tt0045061/"">The Quiet Man</a>","1886-12-10"

"311","nm0001452","Sun Mar  9 15:57:57 2014","Sun Mar  9 15:57:57 2014","","Charles Laughton","Actor, <a href=""http://www.imdb.com/title/tt0054331/"">Spartacus</a>","1899-07-01"

"312","nm0000891","Sun Mar  9 15:58:18 2014","Sun Mar  9 15:58:18 2014","","Wallace Beery","Actor, <a href=""http://www.imdb.com/title/tt0022958/"">Grand Hotel</a>","1885-04-01"

"313","nm0000621","Mon Mar 10 07:30:32 2014","Mon Mar 10 07:30:32 2014","","Kurt Russell","Actor, <a href=""http://www.imdb.com/title/tt0084787/"">The Thing</a>","1951-03-17"

"314","nm0000859","Mon Mar 10 07:30:44 2014","Mon Mar 10 07:30:44 2014","","Lionel Barrymore","Actor, <a href=""http://www.imdb.com/title/tt0038650/"">It's a Wonderful Life</a>","1878-04-28"

"315","nm0000156","Mon Mar 10 07:34:11 2014","Mon Mar 10 07:34:11 2014","","Jeff Goldblum","Actor, <a href=""http://www.imdb.com/title/tt0107290/"">Jurassic Park</a>","1952-10-22"

"316","nm0062828","Mon Mar 10 07:34:27 2014","Mon Mar 10 07:34:27 2014","","Warner Baxter","Actor, <a href=""http://www.imdb.com/title/tt0024034/"">42nd Street</a>","1889-03-29"

"317","nm0417837","Mon Mar 10 07:34:53 2014","Mon Mar 10 07:34:53 2014","","Emil Jannings","Actor, <a href=""http://www.imdb.com/title/tt0020697/"">Der blaue Engel</a>","1884-07-23"

"318","nm0177933","Mon Mar 10 07:35:31 2014","Mon Mar 10 07:35:31 2014","","Chris Cooper","Actor, <a href=""http://www.imdb.com/title/tt0169547/"">American Beauty</a>","1951-07-09"

"319","nm0000980","Mon Mar 10 07:35:41 2014","Mon Mar 10 07:35:41 2014","","Jim Broadbent","Actor, <a href=""http://www.imdb.com/title/tt0203009/"">Moulin Rouge!</a>","1949-05-24"

"320","nm0000336","Mon Mar 10 07:35:53 2014","Mon Mar 10 07:35:53 2014","","James Coburn","Actor, <a href=""http://www.imdb.com/title/tt0198781/"">Monsters, Inc.</a>"

"321","nm0000421","Mon Mar 10 07:36:05 2014","Mon Mar 10 07:36:05 2014","","Cuba Gooding Jr.","Actor, <a href=""http://www.imdb.com/title/tt0116695/"">Jerry Maguire</a>","1968-01-02"

"322","nm0001445","Mon Mar 10 07:36:14 2014","Mon Mar 10 07:36:14 2014","","Martin Landau","Actor, <a href=""http://www.imdb.com/title/tt0109707/"">Ed Wood</a>","1928-06-20"

"323","nm0001588","Mon Mar 10 07:36:27 2014","Mon Mar 10 07:36:27 2014","","Jack Palance","Actor, <a href=""http://www.imdb.com/title/tt0096895/"">Batman</a>","1919-02-18"

"324","nm0000177","Mon Mar 10 07:36:36 2014","Mon Mar 10 07:36:36 2014","","Kevin Kline","Actor, <a href=""http://www.imdb.com/title/tt0095159/"">A Fish Called Wanda</a>","1947-10-24"

"325","nm0000747","Mon Mar 10 07:36:50 2014","Mon Mar 10 07:36:50 2014","","Don Ameche","Actor, <a href=""http://www.imdb.com/title/tt0088933/"">Cocoon</a>","1908-05-31"

"351","nm0628955","Mon Mar 10 09:03:33 2014","Mon Mar 10 09:03:33 2014","","Haing S. Ngor","Actor, <a href=""http://www.imdb.com/title/tt0087553/"">The Killing Fields</a>","1940-03-22"

"352","nm0001283","Mon Mar 10 09:03:52 2014","Mon Mar 10 09:03:52 2014","","Louis Gossett Jr.","Actor, <a href=""http://www.imdb.com/title/tt0089092/"">Enemy Mine</a>","1936-05-27"

"353","nm0000024","Mon Mar 10 09:04:05 2014","Mon Mar 10 09:04:05 2014","","John Gielgud","Actor, <a href=""http://www.imdb.com/title/tt0083987/"">Gandhi</a>","1904-04-14"

"354","nm0000459","Mon Mar 10 09:04:19 2014","Mon Mar 10 09:04:19 2014","","Timothy Hutton","Actor, <a href=""http://www.imdb.com/title/tt1139328/"">The Ghost Writer</a>","1960-08-16"

"355","nm0002048","Mon Mar 10 09:04:36 2014","Mon Mar 10 09:04:36 2014","","Melvyn Douglas","Actor, <a href=""http://www.imdb.com/title/tt0078841/"">Being There</a>","1901-04-05"

"356","nm0001673","Mon Mar 10 09:04:47 2014","Mon Mar 10 09:04:47 2014","","Jason Robards","Actor, <a href=""http://www.imdb.com/title/tt0064116/"">C'era una volta il West</a>","1922-07-26"

"357","nm0122675","Mon Mar 10 09:04:57 2014","Mon Mar 10 09:04:57 2014","","George Burns","Actor, <a href=""http://www.imdb.com/title/tt0076489/"">Oh, God!</a>"

"358","nm0002144","Mon Mar 10 09:05:28 2014","Mon Mar 10 09:05:28 2014","","John Houseman","Actor, <a href=""http://www.imdb.com/title/tt0080749/"">The Fog</a>","1902-09-22"

"359","nm0000160","Mon Mar 10 09:10:15 2014","Mon Mar 10 09:10:15 2014","","Ethan Hawke","Actor, <a href=""http://www.imdb.com/title/tt0139654/"">Training Day</a>","1970-11-06"

"360","nm0424565","Mon Mar 10 09:10:26 2014","Mon Mar 10 09:10:26 2014","","Ben Johnson","Actor, <a href=""http://www.imdb.com/title/tt0067328/"">The Last Picture Show</a>","1918-06-13"

"361","nm0590055","Mon Mar 10 09:10:35 2014","Mon Mar 10 09:10:35 2014","","John Mills","Actor, <a href=""http://www.imdb.com/title/tt0083987/"">Gandhi</a>","1908-02-22"

"362","nm0949574","Mon Mar 10 09:10:57 2014","Mon Mar 10 09:10:57 2014","","Gig Young","Actor, <a href=""http://www.imdb.com/title/tt0065088/"">They Shoot Horses, Don't They?</a>"

"363","nm0016776","Mon Mar 10 09:11:07 2014","Mon Mar 10 09:11:07 2014","","Jack Albertson","Actor, <a href=""http://www.imdb.com/title/tt0067992/"">Willy Wonka & the Chocolate Factory</a>","1907-06-16"

"364","nm0001421","Mon Mar 10 09:11:17 2014","Mon Mar 10 09:11:17 2014","","George Kennedy","Actor, <a href=""http://www.imdb.com/title/tt0061512/"">Cool Hand Luke</a>","1925-02-18"

"365","nm0000527","Mon Mar 10 09:12:24 2014","Mon Mar 10 09:12:24 2014","","Walter Matthau","Actor, <a href=""http://www.imdb.com/title/tt0063374/"">The Odd Couple</a>","1920-10-01"

"366","nm0000842","Mon Mar 10 09:13:06 2014","Mon Mar 10 09:13:06 2014","","Martin Balsam","Actor, <a href=""http://www.imdb.com/title/tt0050083/"">12 Angry Men</a>","1919-11-04"

"367","nm0001811","Mon Mar 10 09:13:20 2014","Mon Mar 10 09:13:20 2014","","Peter Ustinov","Actor, <a href=""http://www.imdb.com/title/tt0070608/"">Robin Hood</a>","1921-04-16"

"368","nm0003225","Mon Mar 10 09:13:45 2014","Mon Mar 10 09:13:45 2014","","Ed Begley","Actor, <a href=""http://www.imdb.com/title/tt0050083/"">12 Angry Men</a>","1901-03-25"

"369","nm0001995","Mon Mar 10 09:14:02 2014","Mon Mar 10 09:14:02 2014","","George Chakiris","Actor, <a href=""http://www.imdb.com/title/tt0055614/"">West Side Story</a>","1934-09-16"

"370","nm0341518","Mon Mar 10 09:14:33 2014","Mon Mar 10 09:14:33 2014","","Hugh Griffith","Actor, <a href=""http://www.imdb.com/title/tt0052618/"">Ben-Hur</a>","1912-05-30"

"371","nm0412322","Mon Mar 10 09:14:55 2014","Mon Mar 10 09:14:55 2014","","Burl Ives","Actor, <a href=""http://www.imdb.com/title/tt0058536/"">Rudolph, the Red-Nosed Reindeer</a>"

"372","nm0000999","Mon Mar 10 09:15:04 2014","Mon Mar 10 09:15:04 2014","","Red Buttons","Actor, <a href=""http://www.imdb.com/title/tt0069113/"">The Poseidon Adventure</a>","1919-02-05"

"373","nm0000063","Mon Mar 10 09:15:21 2014","Mon Mar 10 09:15:21 2014","","Anthony Quinn","Actor, <a href=""http://www.imdb.com/title/tt0056172/"">Lawrence of Arabia</a>","1915-04-21"

"374","nm0639529","Mon Mar 10 09:15:54 2014","Mon Mar 10 09:15:54 2014","","Edmond O'Brien","Actor, <a href=""http://www.imdb.com/title/tt0065214/"">The Wild Bunch</a>","1915-09-10"

"375","nm0000069","Mon Mar 10 09:16:14 2014","Mon Mar 10 09:16:14 2014","","Frank Sinatra","Soundtrack, <a href=""http://www.imdb.com/title/tt0045793/"">From Here to Eternity</a>","1915-12-12"

"401","nm0000063","Mon Mar 10 09:35:12 2014","Mon Mar 10 09:35:12 2014","","Anthony Quinn","Actor, <a href=""http://www.imdb.com/title/tt0056172/"">Lawrence of Arabia</a>","1915-04-21"

"402","nm0001695","Mon Mar 10 09:35:32 2014","Mon Mar 10 09:35:32 2014","","George Sanders","Actor, <a href=""http://www.imdb.com/title/tt0042192/"">All About Eve</a>","1906-07-03"

"403","nm0415591","Mon Mar 10 09:35:44 2014","Mon Mar 10 09:35:44 2014","","Dean Jagger","Actor, <a href=""http://www.imdb.com/title/tt0047673/"">White Christmas</a>","1903-11-07"

"404","nm0404158","Mon Mar 10 09:35:52 2014","Mon Mar 10 09:35:52 2014","","Walter Huston","Actor, <a href=""http://www.imdb.com/title/tt0040897/"">The Treasure of the Sierra Madre</a>","1883-04-05"

"405","nm0350324","Mon Mar 10 09:36:10 2014","Mon Mar 10 09:36:10 2014","","Edmund Gwenn","Actor, <a href=""http://www.imdb.com/title/tt0048750/"">The Trouble with Harry</a>","1877-09-26"

"406","nm0751174","Mon Mar 10 09:37:34 2014","Mon Mar 10 09:37:34 2014","","Harold Russell","Actor, <a href=""http://www.imdb.com/title/tt0036868/"">The Best Years of Our Lives</a>","1914-01-14"

"407","nm0000424","Mon Mar 10 09:42:19 2014","Mon Mar 10 09:42:19 2014","","Hugh Grant","Actor, <a href=""http://www.imdb.com/title/tt0276751/"">About a Boy</a>","1960-09-09"

"408","nm0280178","Mon Mar 10 09:42:31 2014","Mon Mar 10 09:42:31 2014","","Barry Fitzgerald","Actor, <a href=""http://www.imdb.com/title/tt0045061/"">The Quiet Man</a>","1888-03-10"

"409","nm0002013","Mon Mar 10 09:42:42 2014","Mon Mar 10 09:42:42 2014","","Charles Coburn","Actor, <a href=""http://www.imdb.com/title/tt0045810/"">Gentlemen Prefer Blondes</a>","1877-06-19"

"410","nm0001336","Mon Mar 10 09:43:05 2014","Mon Mar 10 09:43:05 2014","","Van Heflin","Actor, <a href=""http://www.imdb.com/title/tt0046303/"">Shane</a>","1908-12-13"

"411","nm0187981","Mon Mar 10 09:43:18 2014","Mon Mar 10 09:43:18 2014","","Donald Crisp","Actor, <a href=""http://www.imdb.com/title/tt0033729/"">How Green Was My Valley</a>","1882-07-27"

"412","nm0593775","Mon Mar 10 09:43:27 2014","Mon Mar 10 09:43:27 2014","","Thomas Mitchell","Actor, <a href=""http://www.imdb.com/title/tt0031381/"">Gone with the Wind</a>","1892-07-11"

"413","nm0000974","Mon Mar 10 09:44:25 2014","Mon Mar 10 09:44:25 2014","","Walter Brennan","Actor, <a href=""http://www.imdb.com/title/tt0053221/"">Rio Bravo</a>","1894-07-25"

"414","nm0771584","Mon Mar 10 09:44:35 2014","Mon Mar 10 09:44:35 2014","","Joseph Schildkraut","Actor, <a href=""http://www.imdb.com/title/tt0052738/"">The Diary of Anne Frank</a>","1896-03-22"

"415","nm0000206","Mon Mar 10 09:44:47 2014","Mon Mar 10 09:44:47 2014","","Keanu Reeves","Actor, <a href=""http://www.imdb.com/title/tt0133093/"">The Matrix</a>","1964-09-02"

"416","nm1475594","Mon Mar 10 09:44:55 2014","Mon Mar 10 09:44:55 2014","","Channing Tatum","Actor, <a href=""http://www.imdb.com/title/tt1232829/"">21 Jump Street</a>","1980-04-26"

"417","nm0413168","Mon Mar 10 09:45:03 2014","Mon Mar 10 09:45:03 2014","","Hugh Jackman","Actor, <a href=""http://www.imdb.com/title/tt0482571/"">The Prestige</a>","1968-10-12"

"418","nm0425005","Mon Mar 10 09:45:12 2014","Mon Mar 10 09:45:12 2014","","Dwayne Johnson","Actor, <a href=""http://www.imdb.com/title/tt1905041/"">Furious 6</a>","1972-05-02"

"419","nm0001191","Mon Mar 10 09:45:24 2014","Mon Mar 10 09:45:24 2014","","Adam Sandler","Actor, <a href=""http://www.imdb.com/title/tt2191701/"">Grown Ups 2</a>","1966-09-09"

"420","nm0705356","Mon Mar 10 09:45:35 2014","Mon Mar 10 09:45:35 2014","","Daniel Radcliffe","Actor, <a href=""http://www.imdb.com/title/tt0304141/"">Harry Potter and the Prisoner of Azkaban</a>","1989-07-23"

"421","nm0185819","Mon Mar 10 09:45:43 2014","Mon Mar 10 09:45:43 2014","","Daniel Craig","Actor, <a href=""http://www.imdb.com/title/tt1074638/"">Skyfall</a>","1968-03-02"

"422","nm0331516","Mon Mar 10 09:45:51 2014","Mon Mar 10 09:45:51 2014","","Ryan Gosling","Actor, <a href=""http://www.imdb.com/title/tt0780504/"">Drive</a>","1980-11-12"

"423","nm0004874","Mon Mar 10 09:46:15 2014","Mon Mar 10 09:46:15 2014","","Vin Diesel","Actor, <a href=""http://www.imdb.com/title/tt1905041/"">Furious 6</a>","1967-07-18"

"424","nm0000255","Mon Mar 10 09:46:00 2014","Mon Mar 10 09:46:00 2014","","Ben Affleck","Actor, <a href=""http://www.imdb.com/title/tt1024648/"">Argo</a>","1972-08-15"

"425","nm1517976","Mon Mar 10 09:46:26 2014","Mon Mar 10 09:46:26 2014","","Chris Pine","Actor, <a href=""http://www.imdb.com/title/tt0796366/"">Star Trek</a>","1980-08-26"

"451","nm1940449","Mon Mar 10 09:58:38 2014","Mon Mar 10 09:58:38 2014","","Andrew Garfield","Actor, <a href=""http://www.imdb.com/title/tt0948470/"">The Amazing Spider-Man</a>","1983-08-20"

"452","nm0719637","Mon Mar 10 09:58:47 2014","Mon Mar 10 09:58:47 2014","","Jeremy Renner","Actor, <a href=""http://www.imdb.com/title/tt0887912/"">The Hurt Locker</a>","1971-01-07"

"453","nm0136797","Mon Mar 10 09:58:59 2014","Mon Mar 10 09:58:59 2014","","Steve Carell","Actor, <a href=""http://www.imdb.com/title/tt1248736/"">Stress Relief</a>","1962-08-16"

"454","nm0350453","Mon Mar 10 09:59:08 2014","Mon Mar 10 09:59:08 2014","","Jake Gyllenhaal","Actor, <a href=""http://www.imdb.com/title/tt0246578/"">Donnie Darko</a>","1980-12-19"

"455","nm0262635","Mon Mar 10 09:59:19 2014","Mon Mar 10 09:59:19 2014","","Chris Evans","Actor, <a href=""http://www.imdb.com/title/tt0848228/"">The Avengers</a>","1981-06-13"

"456","nm0290556","Mon Mar 10 09:59:29 2014","Mon Mar 10 09:59:29 2014","","James Franco","Actor, <a href=""http://www.imdb.com/title/tt1542344/"">127 Hours</a>","1978-04-19"

"457","nm0302108","Mon Mar 10 09:59:48 2014","Mon Mar 10 09:59:48 2014","","Zach Galifianakis","Actor, <a href=""http://www.imdb.com/title/tt1119646/"">The Hangover</a>","1969-10-01"

"458","nm0002071","Mon Mar 10 10:00:10 2014","Mon Mar 10 10:00:10 2014","","Will Ferrell","Actor, <a href=""http://www.imdb.com/title/tt0838283/"">Step Brothers</a>","1967-07-16"

"459","nm0479471","Mon Mar 10 10:00:38 2014","Mon Mar 10 10:00:38 2014","","Shia LaBeouf","Actor, <a href=""http://www.imdb.com/title/tt0418279/"">Transformers</a>","1986-06-11"

"460","nm0736622","Mon Mar 10 10:00:50 2014","Mon Mar 10 10:00:50 2014","","Seth Rogen","Actor, <a href=""http://www.imdb.com/title/tt1245492/"">This Is the End</a>","1982-04-15"

"461","nm0330687","Mon Mar 10 10:01:22 2014","Mon Mar 10 10:01:22 2014","","Joseph Gordon-Levitt","Actor, <a href=""http://www.imdb.com/title/tt1375666/"">Inception</a>","1981-02-17"

"462","nm0005351","Mon Mar 10 10:01:30 2014","Mon Mar 10 10:01:30 2014","","Ryan Reynolds","Actor, <a href=""http://www.imdb.com/title/tt1133985/"">Green Lantern</a>","1976-10-23"

"463","nm0748620","Mon Mar 10 10:01:46 2014","Mon Mar 10 10:01:46 2014","","Paul Rudd","Actor, <a href=""http://www.imdb.com/title/tt0478970/"">Ant-Man</a>","1969-04-06"

"464","nm0781981","Mon Mar 10 10:01:53 2014","Mon Mar 10 10:01:53 2014","","Jason Segel","Actor, <a href=""http://www.imdb.com/title/tt1323594/"">Despicable Me</a>","1980-01-18"

"465","nm0005458","Mon Mar 10 10:02:03 2014","Mon Mar 10 10:02:03 2014","","Jason Statham","Actor, <a href=""http://www.imdb.com/title/tt0293662/"">The Transporter</a>","1967-07-26"

"466","nm0005493","Mon Mar 10 10:02:10 2014","Mon Mar 10 10:02:10 2014","","Justin Timberlake","Soundtrack, <a href=""http://www.imdb.com/title/tt0314331/"">Love Actually</a>","1981-01-31"

"467","nm1500155","Thu Aug 13 10:50:27 2015","Thu Aug 13 10:50:27 2015","","Robert Pattinson","Actor, <a href=""http://www.imdb.com/title/tt1099212/"">Twilight</a>","1986-05-13"

"468","nm1374980","Mon Mar 10 10:02:22 2014","Mon Mar 10 10:02:22 2014","","Zac Efron","Actor, <a href=""http://www.imdb.com/title/tt0974661/"">17 Again</a>","1987-10-18"

"469","nm0251986","Mon Mar 10 10:02:30 2014","Mon Mar 10 10:02:30 2014","","Jesse Eisenberg","Actor, <a href=""http://www.imdb.com/title/tt1285016/"">The Social Network</a>","1983-10-05"

"470","nm0005562","Mon Mar 10 10:02:37 2014","Mon Mar 10 10:02:37 2014","","Owen Wilson","Actor, <a href=""http://www.imdb.com/title/tt1605783/"">Midnight in Paris</a>","1968-11-18"

"471","nm0000867","Mon Mar 10 10:05:30 2014","Mon Mar 10 10:05:30 2014","","Jason Bateman","Actor, <a href=""http://www.imdb.com/title/tt1499658/"">Horrible Bosses</a>","1969-01-14"

"472","nm1347153","Mon Mar 10 10:05:39 2014","Mon Mar 10 10:05:39 2014","","Tyler Perry","Director, <a href=""http://www.imdb.com/title/tt2070862/"">Temptation: Confessions of a Marriage Counselor</a>","1969-09-14"

"473","nm2955013","Mon Mar 10 10:05:47 2014","Mon Mar 10 10:05:47 2014","","Liam Hemsworth","Actor, <a href=""http://www.imdb.com/title/tt1951264/"">The Hunger Games: Catching Fire</a>","1990-01-13"

"474","nm0000638","Mon Mar 10 10:06:31 2014","Mon Mar 10 10:06:31 2014","","William Shatner","Actor, <a href=""http://www.imdb.com/title/tt0084726/"">Star Trek: The Wrath of Khan</a>","1931-03-22"

"475","nm0451321","Mon Mar 10 10:06:43 2014","Mon Mar 10 10:06:43 2014","","Shah Rukh Khan","Actor, <a href=""http://www.imdb.com/title/tt1188996/"">My Name Is Khan</a>","1965-11-02"

"501","nm1242688","Mon Mar 10 10:54:31 2014","Mon Mar 10 10:54:31 2014","","Josh Hutcherson","Actor, <a href=""http://www.imdb.com/title/tt1951265/"">The Hunger Games: Mockingjay - Part 1</a>","1992-10-12"

"502","nm0402271","Mon Mar 10 10:54:39 2014","Mon Mar 10 10:54:39 2014","","Charlie Hunnam","Actor, <a href=""http://www.imdb.com/title/tt1663662/"">Pacific Rim</a>","1980-04-10"

"503","nm0396558","Mon Mar 10 10:54:46 2014","Mon Mar 10 10:54:46 2014","","Nicholas Hoult","Actor, <a href=""http://www.imdb.com/title/tt1392190/"">Mad Max: Fury Road</a>","1989-12-07"

"504","nm1093951","Mon Mar 10 10:55:07 2014","Mon Mar 10 10:55:07 2014","","Aaron Taylor-Johnson","Actor, <a href=""http://www.imdb.com/title/tt1250777/"">Kick-Ass</a>","1990-06-13"

"505","nm0186505","Mon Mar 10 10:55:15 2014","Mon Mar 10 10:55:15 2014","","Bryan Cranston","Actor, <a href=""http://www.imdb.com/title/tt2301451/"">Ozymandias</a>","1956-03-07"

"506","nm0124930","Mon Mar 10 10:55:23 2014","Mon Mar 10 10:55:23 2014","","Gerard Butler","Actor, <a href=""http://www.imdb.com/title/tt0416449/"">300</a>","1969-11-13"

"507","nm0908094","Mon Mar 10 10:55:29 2014","Mon Mar 10 10:55:29 2014","","Paul Walker","Actor, <a href=""http://www.imdb.com/title/tt0232500/"">The Fast and the Furious</a>","1973-09-12"

"508","nm0881631","Mon Mar 10 10:55:38 2014","Mon Mar 10 10:55:38 2014","","Karl Urban","Actor, <a href=""http://www.imdb.com/title/tt1343727/"">Dredd</a>","1972-06-07"

"509","nm0503567","Mon Mar 10 10:56:13 2014","Mon Mar 10 10:56:13 2014","","Logan Lerman","Actor, <a href=""http://www.imdb.com/title/tt1659337/"">The Perks of Being a Wallflower</a>","1992-01-19"

"510","nm2002649","Mon Mar 10 10:56:20 2014","Mon Mar 10 10:56:20 2014","","Dave Franco","Actor, <a href=""http://www.imdb.com/title/tt1232829/"">21 Jump Street</a>","1985-06-12"

"511","nm1089991","Mon Mar 10 10:56:29 2014","Mon Mar 10 10:56:29 2014","","Tom Hiddleston","Actor, <a href=""http://www.imdb.com/title/tt0848228/"">The Avengers</a>","1981-02-09"

"512","nm0227759","Mon Mar 10 10:56:37 2014","Mon Mar 10 10:56:37 2014","","Peter Dinklage","Actor, <a href=""http://www.imdb.com/title/tt1877832/"">X-Men: Days of Future Past</a>","1969-06-11"

"513","nm2018237","Mon Mar 10 10:56:58 2014","Mon Mar 10 10:56:58 2014","","Taylor Kitsch","Actor, <a href=""http://www.imdb.com/title/tt0401729/"">John Carter</a>","1981-04-08"

"514","nm1641117","Mon Mar 10 10:57:09 2014","Mon Mar 10 10:57:09 2014","","Alex Pettyfer","Actor, <a href=""http://www.imdb.com/title/tt1464540/"">I Am Number Four</a>","1990-04-10"

"515","nm0001602","Mon Mar 10 10:57:17 2014","Mon Mar 10 10:57:17 2014","","Guy Pearce","Actor, <a href=""http://www.imdb.com/title/tt0209144/"">Memento</a>","1967-10-05"

"516","nm0749263","Mon Mar 10 10:57:29 2014","Mon Mar 10 10:57:29 2014","","Mark Ruffalo","Actor, <a href=""http://www.imdb.com/title/tt0848228/"">The Avengers</a>","1967-11-22"

"517","nm0000620","Mon Mar 10 10:57:45 2014","Mon Mar 10 10:57:45 2014","","Mickey Rourke","Actor, <a href=""http://www.imdb.com/title/tt1125849/"">The Wrestler</a>","1952-09-16"

"518","nm0001449","Mon Mar 10 10:58:08 2014","Mon Mar 10 10:58:08 2014","","Frank Langella","Actor, <a href=""http://www.imdb.com/title/tt0870111/"">Frost/Nixon</a>","1938-01-01"

